Portugal,fewer than 500 (2009 est.)
Puerto Rico,NA
Qatar,fewer than 100 (2009 est.)
Romania,"fewer than 1,000 (2009 est.)"
Russia,NA
Rwanda,"5,600 (2012 est.)"
"Saint Helena, Ascension, and Tristan da Cunha",NA
Saint Kitts and Nevis,NA
Saint Lucia,NA
Saint Pierre and Miquelon,NA
Saint Vincent and the Grenadines,NA
Samoa,NA
San Marino,NA
Sao Tome and Principe,100 (2012 est.)
Saudi Arabia,NA
Senegal,"1,900 (2012 est.)"
Serbia,fewer than 100 (2009 est.)
Seychelles,NA
Sierra Leone,"3,300 (2012 est.)"
Singapore,fewer than 100 (2009 est.)
Sint Maarten,NA
Slovakia,fewer than 100 (2009 est.)
Slovenia,fewer than 100 (2009 est.)
Solomon Islands,NA
Somalia,"2,500 (2012 est.)"
South Africa,"235,100 (2012 est.)"
South Sudan,"12,900 (2012 est.)"
Spain,"1,600 (2009 est.)"
Sri Lanka,200 (2012 est.)
Sudan,"12,000 (2009 est.)"
Suriname,100 (2012 est.)
Svalbard,0 (2001 est.)
Swaziland,"5,500 (2012 est.)"
Sweden,fewer than 100 (2009 est.)
Switzerland,fewer than 100 (2009 est.)
Syria,fewer than 200 (2003 est.)
Taiwan,NA
Tajikistan,500 (2012 est.)
Tanzania,"80,000 (2012 est.)"
Thailand,"20,800 (2012 est.)"
Timor-Leste,NA
Togo,"7,200 (2012 est.)"
Tokelau,NA
Tonga,NA
Trinidad and Tobago,500 (2012 est.)
Tunisia,100 (2012 est.)
Turkey,fewer than 200 (2009 est.)
Turkmenistan,fewer than 100 (2004 est.)
Turks and Caicos Islands,NA
Tuvalu,NA
Uganda,"63,300 (2012 est.)"
Ukraine,"18,100 (2012 est.)"
United Arab Emirates,NA
United Kingdom,"fewer than 1,000 (2009 est.)"
United States,"17,000 (2012 est.)"
Uruguay,NA
Uzbekistan,"2,400 (2012 est.)"
Vanuatu,NA
Venezuela,"3,800 (2012 est.)"
Vietnam,"11,700 (2012 est.)"
Virgin Islands,NA
Wallis and Futuna,NA
West Bank,NA
Western Sahara,NA
World,1.6 million (2009 est.)
Yemen,800 (2012 est.)
Zambia,"30,300 (2012 est.)"
Zimbabwe,"39,500 (2012 est.)"
