Guatemala,"has not submitted an ICJ jurisdiction declaration; the Congress ratified Statute of Rome on 18 January 2012, and ICCt jurisdiction entered into force on 23 February 2012"
Guinea,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Guinea-Bissau,accepts compulsory ICJ jurisdiction; non-party state to the ICCt
Guyana,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Haiti,accepts compulsory ICJ jurisdiction; non-party state to the ICCt
Holy See (Vatican City),has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Honduras,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Hungary,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Iceland,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
India,accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt
Indonesia,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Iran,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Iraq,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Ireland,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Israel,has not submitted an ICJ jurisdiction declaration; withdrew acceptance of ICCt jurisdiction in 2002
Italy,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Jamaica,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Japan,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Jordan,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Kazakhstan,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Kenya,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Kiribati,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
"Korea, North",has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
"Korea, South",has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Kosovo,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Kuwait,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Kyrgyzstan,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Laos,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Latvia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Lebanon,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Lesotho,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Liberia,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Libya,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Liechtenstein,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Lithuania,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Luxembourg,accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction
Macedonia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Madagascar,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Malawi,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Malaysia,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Maldives,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Mali,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Malta,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Marshall Islands,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Mauritania,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Mauritius,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Mexico,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
"Micronesia, Federated States of",has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Moldova,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Monaco,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Mongolia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Montenegro,has not submitted an ICJ jurisdiction declaration; accepts ICC jurisdiction
Morocco,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Mozambique,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Namibia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Nauru,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Nepal,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Netherlands,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
New Zealand,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Nicaragua,accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt
Niger,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Nigeria,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Norway,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Oman,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Pakistan,accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt
Palau,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Panama,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Papua New Guinea,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Paraguay,accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction
Peru,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
