Netherlands,44.11 billion cu m (2013 est.)
New Caledonia,0 cu m (2010 est.)
New Zealand,4.537 billion cu m (2010 est.)
Nicaragua,0 cu m (2012 est.)
Niger,0 cu m (2010 est.)
Nigeria,5.03 billion cu m (2010 est.)
Niue,0 cu m (2010 est.)
Norway,5.506 billion cu m (2010 est.)
Oman,17.53 billion cu m (2011 est.)
Pakistan,42.9 billion cu m (2011 est.)
Panama,0 cu m (2010 est.)
Papua New Guinea,110 million cu m (2010 est.)
Paraguay,0 cu m (2010 est.)
Peru,5.49 billion cu m (2010 est.)
Philippines,2.86 billion cu m (2010 est.)
Poland,14.38 billion cu m (2011 est.)
Portugal,5.143 billion cu m (2010 est.)
Puerto Rico,770 million cu m (2010 est.)
Qatar,19.53 billion cu m (2012 est.)
Romania,13.48 billion cu m (2012 est.)
Russia,457.2 billion cu m (2013 est.)
Rwanda,0 cu m (2010 est.)
"Saint Helena, Ascension, and Tristan da Cunha",0 cu m (2010 est.)
Saint Kitts and Nevis,0 cu m (2010 est.)
Saint Lucia,0 cu m (2010 est.)
Saint Pierre and Miquelon,0 cu m (2010 est.)
Saint Vincent and the Grenadines,0 cu m (2010 est.)
Samoa,0 cu m (2010 est.)
Sao Tome and Principe,0 cu m (2010 est.)
Saudi Arabia,99.23 billion cu m (2011 est.)
Senegal,20 million cu m (2010 est.)
Serbia,2.827 billion cu m (2013 est.)
Seychelles,0 cu m (2010 est.)
Sierra Leone,0 cu m (2010 est.)
Singapore,8.778 billion cu m (2012 est.)
Slovakia,6.468 billion cu m (2011 est.)
Slovenia,680 million cu m (2012 est.)
Solomon Islands,0 cu m (2010 est.)
Somalia,0 cu m (2010 est.)
South Africa,4.01 billion cu m (2010 est.)
South Sudan,0 cu m (2010 est.)
Spain,35.82 billion cu m (2010 est.)
Sri Lanka,0 cu m (2012 est.)
Sudan,0 cu m (2010 est.)
Suriname,0 cu m (2010 est.)
Swaziland,0 cu m (2010 est.)
Sweden,1.53 billion cu m (2010 est.)
Switzerland,3.2 billion cu m (2012 est.)
Syria,9.63 billion cu m (2010 est.)
Taiwan,16.37 billion cu m (2011 est.)
Tajikistan,3.928 million cu m (2013 est.)
Tanzania,780 million cu m (2010 est.)
Thailand,45.08 billion cu m (2010 est.)
Timor-Leste,0 cu m (2010 est.)
Togo,0 cu m (2010 est.)
Tonga,0 cu m (2010 est.)
Trinidad and Tobago,23.32 billion cu m (2010 est.)
Tunisia,3.28 billion cu m (2010 est.)
Turkey,38.13 billion cu m (2010 est.)
Turkmenistan,23.3 billion cu m (2012 est.)
Turks and Caicos Islands,0 cu m (2010 est.)
Uganda,0 cu m (2010 est.)
Ukraine,56.2 billion cu m (2010 est.)
United Arab Emirates,60.54 billion cu m (2010 est.)
United Kingdom,51.63 billion cu m (2013 est.)
United States,689.9 billion cu m (2011 est.)
Uruguay,80 million cu m (2010 est.)
Uzbekistan,46.8 billion cu m (2012 est.)
Vanuatu,0 cu m (2010 est.)
Venezuela,27.11 billion cu m (2010 est.)
Vietnam,10.2 billion cu m (2012 est.)
Virgin Islands,0 cu m (2010 est.)
West Bank,0 cu m (2010 est.)
Western Sahara,0 cu m (2010 est.)
World,3.235 trillion cu m (2010 est.)
Yemen,869.9 million cu m (2011 est.)
Zambia,0 cu m (2010 est.)
Zimbabwe,0 cu m (2010 est.)
